Baseline,Country,Accuracy,Precision,Recall,F1
Naive Bayes,Venezuela,"[[0.9472450175849941, 0.5555555555555556, 0.2127659574468085, 0.3076923076923077], [0.9495896834701055, 0.6, 0.2553191489361702, 0.3582089552238805], [0.9507620164126612, 0.6470588235294118, 0.23404255319148937, 0.34375], [0.9542790152403282, 0.6428571428571429, 0.3829787234042553, 0.48], [0.9531066822977726, 0.7692307692307693, 0.2127659574468085, 0.33333333333333337]]","[[0.9472450175849941, 0.5555555555555556, 0.2127659574468085, 0.3076923076923077], [0.9495896834701055, 0.6, 0.2553191489361702, 0.3582089552238805], [0.9507620164126612, 0.6470588235294118, 0.23404255319148937, 0.34375], [0.9542790152403282, 0.6428571428571429, 0.3829787234042553, 0.48], [0.9531066822977726, 0.7692307692307693, 0.2127659574468085, 0.33333333333333337]]","[[0.9472450175849941, 0.5555555555555556, 0.2127659574468085, 0.3076923076923077], [0.9495896834701055, 0.6, 0.2553191489361702, 0.3582089552238805], [0.9507620164126612, 0.6470588235294118, 0.23404255319148937, 0.34375], [0.9542790152403282, 0.6428571428571429, 0.3829787234042553, 0.48], [0.9531066822977726, 0.7692307692307693, 0.2127659574468085, 0.33333333333333337]]","[[0.9472450175849941, 0.5555555555555556, 0.2127659574468085, 0.3076923076923077], [0.9495896834701055, 0.6, 0.2553191489361702, 0.3582089552238805], [0.9507620164126612, 0.6470588235294118, 0.23404255319148937, 0.34375], [0.9542790152403282, 0.6428571428571429, 0.3829787234042553, 0.48], [0.9531066822977726, 0.7692307692307693, 0.2127659574468085, 0.33333333333333337]]"
Naive Bayes,Venezuela,"[[0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0]]","[[0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0]]","[[0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0]]","[[0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0], [0.9449003516998827, 0.0, 0.0, 0.0]]"
Naive Bayes,Ghana,"[[0.952755905511811, 0.7, 0.4375, 0.5384615384615384], [0.9566929133858267, 0.8571428571428571, 0.375, 0.5217391304347825], [0.9389763779527559, 0.5238095238095238, 0.34375, 0.4150943396226415], [0.9586614173228346, 0.72, 0.5625, 0.631578947368421], [0.9507874015748031, 0.7333333333333333, 0.34375, 0.4680851063829787]]","[[0.952755905511811, 0.7, 0.4375, 0.5384615384615384], [0.9566929133858267, 0.8571428571428571, 0.375, 0.5217391304347825], [0.9389763779527559, 0.5238095238095238, 0.34375, 0.4150943396226415], [0.9586614173228346, 0.72, 0.5625, 0.631578947368421], [0.9507874015748031, 0.7333333333333333, 0.34375, 0.4680851063829787]]","[[0.952755905511811, 0.7, 0.4375, 0.5384615384615384], [0.9566929133858267, 0.8571428571428571, 0.375, 0.5217391304347825], [0.9389763779527559, 0.5238095238095238, 0.34375, 0.4150943396226415], [0.9586614173228346, 0.72, 0.5625, 0.631578947368421], [0.9507874015748031, 0.7333333333333333, 0.34375, 0.4680851063829787]]","[[0.952755905511811, 0.7, 0.4375, 0.5384615384615384], [0.9566929133858267, 0.8571428571428571, 0.375, 0.5217391304347825], [0.9389763779527559, 0.5238095238095238, 0.34375, 0.4150943396226415], [0.9586614173228346, 0.72, 0.5625, 0.631578947368421], [0.9507874015748031, 0.7333333333333333, 0.34375, 0.4680851063829787]]"
Naive Bayes,Ghana,"[[0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0]]","[[0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0]]","[[0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0]]","[[0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0], [0.937007874015748, 0.0, 0.0, 0.0]]"
Naive Bayes,Philippines,"[[0.948559670781893, 0.4444444444444444, 0.34782608695652173, 0.3902439024390244], [0.9547325102880658, 0.5333333333333333, 0.34782608695652173, 0.4210526315789474], [0.948559670781893, 0.42857142857142855, 0.2608695652173913, 0.3243243243243243], [0.9588477366255144, 0.6, 0.391304347826087, 0.47368421052631576], [0.9629629629629629, 0.6666666666666666, 0.43478260869565216, 0.5263157894736841]]","[[0.948559670781893, 0.4444444444444444, 0.34782608695652173, 0.3902439024390244], [0.9547325102880658, 0.5333333333333333, 0.34782608695652173, 0.4210526315789474], [0.948559670781893, 0.42857142857142855, 0.2608695652173913, 0.3243243243243243], [0.9588477366255144, 0.6, 0.391304347826087, 0.47368421052631576], [0.9629629629629629, 0.6666666666666666, 0.43478260869565216, 0.5263157894736841]]","[[0.948559670781893, 0.4444444444444444, 0.34782608695652173, 0.3902439024390244], [0.9547325102880658, 0.5333333333333333, 0.34782608695652173, 0.4210526315789474], [0.948559670781893, 0.42857142857142855, 0.2608695652173913, 0.3243243243243243], [0.9588477366255144, 0.6, 0.391304347826087, 0.47368421052631576], [0.9629629629629629, 0.6666666666666666, 0.43478260869565216, 0.5263157894736841]]","[[0.948559670781893, 0.4444444444444444, 0.34782608695652173, 0.3902439024390244], [0.9547325102880658, 0.5333333333333333, 0.34782608695652173, 0.4210526315789474], [0.948559670781893, 0.42857142857142855, 0.2608695652173913, 0.3243243243243243], [0.9588477366255144, 0.6, 0.391304347826087, 0.47368421052631576], [0.9629629629629629, 0.6666666666666666, 0.43478260869565216, 0.5263157894736841]]"
Naive Bayes,Philippines,"[[0.9526748971193416, 0.0, 0.0, 0.0], [0.9547325102880658, 1.0, 0.043478260869565216, 0.08333333333333333], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9526748971193416, 0.0, 0.0, 0.0], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16]]","[[0.9526748971193416, 0.0, 0.0, 0.0], [0.9547325102880658, 1.0, 0.043478260869565216, 0.08333333333333333], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9526748971193416, 0.0, 0.0, 0.0], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16]]","[[0.9526748971193416, 0.0, 0.0, 0.0], [0.9547325102880658, 1.0, 0.043478260869565216, 0.08333333333333333], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9526748971193416, 0.0, 0.0, 0.0], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16]]","[[0.9526748971193416, 0.0, 0.0, 0.0], [0.9547325102880658, 1.0, 0.043478260869565216, 0.08333333333333333], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9526748971193416, 0.0, 0.0, 0.0], [0.9567901234567902, 1.0, 0.08695652173913043, 0.16]]"
