Baseline,Country,Accuracy,Precision,Recall,F1
SVM,Venezuela,"[[0.9191090269636577, 0.36585365853658536, 0.6382978723404256, 0.46511627906976744], [0.9273153575615475, 0.38461538461538464, 0.5319148936170213, 0.44642857142857145], [0.9320046893317703, 0.42028985507246375, 0.6170212765957447, 0.5], [0.9296600234466589, 0.41975308641975306, 0.723404255319149, 0.53125], [0.9378663540445487, 0.45714285714285713, 0.6808510638297872, 0.547008547008547]]","[[0.9191090269636577, 0.36585365853658536, 0.6382978723404256, 0.46511627906976744], [0.9273153575615475, 0.38461538461538464, 0.5319148936170213, 0.44642857142857145], [0.9320046893317703, 0.42028985507246375, 0.6170212765957447, 0.5], [0.9296600234466589, 0.41975308641975306, 0.723404255319149, 0.53125], [0.9378663540445487, 0.45714285714285713, 0.6808510638297872, 0.547008547008547]]","[[0.9191090269636577, 0.36585365853658536, 0.6382978723404256, 0.46511627906976744], [0.9273153575615475, 0.38461538461538464, 0.5319148936170213, 0.44642857142857145], [0.9320046893317703, 0.42028985507246375, 0.6170212765957447, 0.5], [0.9296600234466589, 0.41975308641975306, 0.723404255319149, 0.53125], [0.9378663540445487, 0.45714285714285713, 0.6808510638297872, 0.547008547008547]]","[[0.9191090269636577, 0.36585365853658536, 0.6382978723404256, 0.46511627906976744], [0.9273153575615475, 0.38461538461538464, 0.5319148936170213, 0.44642857142857145], [0.9320046893317703, 0.42028985507246375, 0.6170212765957447, 0.5], [0.9296600234466589, 0.41975308641975306, 0.723404255319149, 0.53125], [0.9378663540445487, 0.45714285714285713, 0.6808510638297872, 0.547008547008547]]"
SVM Untuned,Venezuela,"[[0.9460726846424384, 0.6666666666666666, 0.0425531914893617, 0.08], [0.9472450175849941, 0.6, 0.1276595744680851, 0.21052631578947367], [0.9460726846424384, 0.6, 0.06382978723404255, 0.11538461538461536], [0.9531066822977726, 0.8181818181818182, 0.19148936170212766, 0.31034482758620685], [0.9507620164126612, 1.0, 0.10638297872340426, 0.1923076923076923]]","[[0.9460726846424384, 0.6666666666666666, 0.0425531914893617, 0.08], [0.9472450175849941, 0.6, 0.1276595744680851, 0.21052631578947367], [0.9460726846424384, 0.6, 0.06382978723404255, 0.11538461538461536], [0.9531066822977726, 0.8181818181818182, 0.19148936170212766, 0.31034482758620685], [0.9507620164126612, 1.0, 0.10638297872340426, 0.1923076923076923]]","[[0.9460726846424384, 0.6666666666666666, 0.0425531914893617, 0.08], [0.9472450175849941, 0.6, 0.1276595744680851, 0.21052631578947367], [0.9460726846424384, 0.6, 0.06382978723404255, 0.11538461538461536], [0.9531066822977726, 0.8181818181818182, 0.19148936170212766, 0.31034482758620685], [0.9507620164126612, 1.0, 0.10638297872340426, 0.1923076923076923]]","[[0.9460726846424384, 0.6666666666666666, 0.0425531914893617, 0.08], [0.9472450175849941, 0.6, 0.1276595744680851, 0.21052631578947367], [0.9460726846424384, 0.6, 0.06382978723404255, 0.11538461538461536], [0.9531066822977726, 0.8181818181818182, 0.19148936170212766, 0.31034482758620685], [0.9507620164126612, 1.0, 0.10638297872340426, 0.1923076923076923]]"
SVM,Ghana,"[[0.9645669291338582, 0.7058823529411765, 0.75, 0.7272727272727272], [0.9468503937007874, 0.5714285714285714, 0.625, 0.5970149253731343], [0.9330708661417323, 0.4807692307692308, 0.78125, 0.5952380952380952], [0.9291338582677166, 0.46, 0.71875, 0.5609756097560976], [0.9468503937007874, 0.5581395348837209, 0.75, 0.6399999999999999]]","[[0.9645669291338582, 0.7058823529411765, 0.75, 0.7272727272727272], [0.9468503937007874, 0.5714285714285714, 0.625, 0.5970149253731343], [0.9330708661417323, 0.4807692307692308, 0.78125, 0.5952380952380952], [0.9291338582677166, 0.46, 0.71875, 0.5609756097560976], [0.9468503937007874, 0.5581395348837209, 0.75, 0.6399999999999999]]","[[0.9645669291338582, 0.7058823529411765, 0.75, 0.7272727272727272], [0.9468503937007874, 0.5714285714285714, 0.625, 0.5970149253731343], [0.9330708661417323, 0.4807692307692308, 0.78125, 0.5952380952380952], [0.9291338582677166, 0.46, 0.71875, 0.5609756097560976], [0.9468503937007874, 0.5581395348837209, 0.75, 0.6399999999999999]]","[[0.9645669291338582, 0.7058823529411765, 0.75, 0.7272727272727272], [0.9468503937007874, 0.5714285714285714, 0.625, 0.5970149253731343], [0.9330708661417323, 0.4807692307692308, 0.78125, 0.5952380952380952], [0.9291338582677166, 0.46, 0.71875, 0.5609756097560976], [0.9468503937007874, 0.5581395348837209, 0.75, 0.6399999999999999]]"
SVM Untuned,Ghana,"[[0.9488188976377953, 0.8, 0.25, 0.38095238095238093], [0.9547244094488189, 0.8461538461538461, 0.34375, 0.4888888888888889], [0.9409448818897638, 0.5833333333333334, 0.21875, 0.31818181818181823], [0.9606299212598425, 0.9285714285714286, 0.40625, 0.5652173913043478], [0.9468503937007874, 0.7272727272727273, 0.25, 0.37209302325581395]]","[[0.9488188976377953, 0.8, 0.25, 0.38095238095238093], [0.9547244094488189, 0.8461538461538461, 0.34375, 0.4888888888888889], [0.9409448818897638, 0.5833333333333334, 0.21875, 0.31818181818181823], [0.9606299212598425, 0.9285714285714286, 0.40625, 0.5652173913043478], [0.9468503937007874, 0.7272727272727273, 0.25, 0.37209302325581395]]","[[0.9488188976377953, 0.8, 0.25, 0.38095238095238093], [0.9547244094488189, 0.8461538461538461, 0.34375, 0.4888888888888889], [0.9409448818897638, 0.5833333333333334, 0.21875, 0.31818181818181823], [0.9606299212598425, 0.9285714285714286, 0.40625, 0.5652173913043478], [0.9468503937007874, 0.7272727272727273, 0.25, 0.37209302325581395]]","[[0.9488188976377953, 0.8, 0.25, 0.38095238095238093], [0.9547244094488189, 0.8461538461538461, 0.34375, 0.4888888888888889], [0.9409448818897638, 0.5833333333333334, 0.21875, 0.31818181818181823], [0.9606299212598425, 0.9285714285714286, 0.40625, 0.5652173913043478], [0.9468503937007874, 0.7272727272727273, 0.25, 0.37209302325581395]]"
SVM,Philippines,"[[0.948559670781893, 0.47058823529411764, 0.6956521739130435, 0.5614035087719297], [0.9609053497942387, 0.7, 0.30434782608695654, 0.42424242424242425], [0.9567901234567902, 0.5555555555555556, 0.43478260869565216, 0.4878048780487805], [0.9444444444444444, 0.4444444444444444, 0.6956521739130435, 0.5423728813559322], [0.9567901234567902, 0.55, 0.4782608695652174, 0.5116279069767442]]","[[0.948559670781893, 0.47058823529411764, 0.6956521739130435, 0.5614035087719297], [0.9609053497942387, 0.7, 0.30434782608695654, 0.42424242424242425], [0.9567901234567902, 0.5555555555555556, 0.43478260869565216, 0.4878048780487805], [0.9444444444444444, 0.4444444444444444, 0.6956521739130435, 0.5423728813559322], [0.9567901234567902, 0.55, 0.4782608695652174, 0.5116279069767442]]","[[0.948559670781893, 0.47058823529411764, 0.6956521739130435, 0.5614035087719297], [0.9609053497942387, 0.7, 0.30434782608695654, 0.42424242424242425], [0.9567901234567902, 0.5555555555555556, 0.43478260869565216, 0.4878048780487805], [0.9444444444444444, 0.4444444444444444, 0.6956521739130435, 0.5423728813559322], [0.9567901234567902, 0.55, 0.4782608695652174, 0.5116279069767442]]","[[0.948559670781893, 0.47058823529411764, 0.6956521739130435, 0.5614035087719297], [0.9609053497942387, 0.7, 0.30434782608695654, 0.42424242424242425], [0.9567901234567902, 0.5555555555555556, 0.43478260869565216, 0.4878048780487805], [0.9444444444444444, 0.4444444444444444, 0.6956521739130435, 0.5423728813559322], [0.9567901234567902, 0.55, 0.4782608695652174, 0.5116279069767442]]"
SVM Untuned,Philippines,"[[0.9629629629629629, 1.0, 0.21739130434782608, 0.3571428571428571], [0.9567901234567902, 0.75, 0.13043478260869565, 0.22222222222222218], [0.9567901234567902, 0.6666666666666666, 0.17391304347826086, 0.27586206896551724], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065], [0.9588477366255144, 0.8, 0.17391304347826086, 0.2857142857142857]]","[[0.9629629629629629, 1.0, 0.21739130434782608, 0.3571428571428571], [0.9567901234567902, 0.75, 0.13043478260869565, 0.22222222222222218], [0.9567901234567902, 0.6666666666666666, 0.17391304347826086, 0.27586206896551724], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065], [0.9588477366255144, 0.8, 0.17391304347826086, 0.2857142857142857]]","[[0.9629629629629629, 1.0, 0.21739130434782608, 0.3571428571428571], [0.9567901234567902, 0.75, 0.13043478260869565, 0.22222222222222218], [0.9567901234567902, 0.6666666666666666, 0.17391304347826086, 0.27586206896551724], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065], [0.9588477366255144, 0.8, 0.17391304347826086, 0.2857142857142857]]","[[0.9629629629629629, 1.0, 0.21739130434782608, 0.3571428571428571], [0.9567901234567902, 0.75, 0.13043478260869565, 0.22222222222222218], [0.9567901234567902, 0.6666666666666666, 0.17391304347826086, 0.27586206896551724], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065], [0.9588477366255144, 0.8, 0.17391304347826086, 0.2857142857142857]]"
