Baseline,Country,Accuracy,Precision,Recall,F1
Random Forest,Venezuela,"[[0.9413833528722158, 0.46938775510204084, 0.48936170212765956, 0.47916666666666663], [0.9109026963657679, 0.2542372881355932, 0.3191489361702128, 0.28301886792452835], [0.9472450175849941, 0.5217391304347826, 0.5106382978723404, 0.5161290322580645], [0.936694021101993, 0.4406779661016949, 0.5531914893617021, 0.49056603773584906], [0.9320046893317703, 0.39622641509433965, 0.44680851063829785, 0.42000000000000004]]","[[0.9413833528722158, 0.46938775510204084, 0.48936170212765956, 0.47916666666666663], [0.9109026963657679, 0.2542372881355932, 0.3191489361702128, 0.28301886792452835], [0.9472450175849941, 0.5217391304347826, 0.5106382978723404, 0.5161290322580645], [0.936694021101993, 0.4406779661016949, 0.5531914893617021, 0.49056603773584906], [0.9320046893317703, 0.39622641509433965, 0.44680851063829785, 0.42000000000000004]]","[[0.9413833528722158, 0.46938775510204084, 0.48936170212765956, 0.47916666666666663], [0.9109026963657679, 0.2542372881355932, 0.3191489361702128, 0.28301886792452835], [0.9472450175849941, 0.5217391304347826, 0.5106382978723404, 0.5161290322580645], [0.936694021101993, 0.4406779661016949, 0.5531914893617021, 0.49056603773584906], [0.9320046893317703, 0.39622641509433965, 0.44680851063829785, 0.42000000000000004]]","[[0.9413833528722158, 0.46938775510204084, 0.48936170212765956, 0.47916666666666663], [0.9109026963657679, 0.2542372881355932, 0.3191489361702128, 0.28301886792452835], [0.9472450175849941, 0.5217391304347826, 0.5106382978723404, 0.5161290322580645], [0.936694021101993, 0.4406779661016949, 0.5531914893617021, 0.49056603773584906], [0.9320046893317703, 0.39622641509433965, 0.44680851063829785, 0.42000000000000004]]"
Random Forest Untuned,Venezuela,"[[0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9472450175849941, 0.5714285714285714, 0.1702127659574468, 0.2622950819672131], [0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9507620164126612, 0.6923076923076923, 0.19148936170212766, 0.30000000000000004], [0.9531066822977726, 0.8888888888888888, 0.1702127659574468, 0.2857142857142857]]","[[0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9472450175849941, 0.5714285714285714, 0.1702127659574468, 0.2622950819672131], [0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9507620164126612, 0.6923076923076923, 0.19148936170212766, 0.30000000000000004], [0.9531066822977726, 0.8888888888888888, 0.1702127659574468, 0.2857142857142857]]","[[0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9472450175849941, 0.5714285714285714, 0.1702127659574468, 0.2622950819672131], [0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9507620164126612, 0.6923076923076923, 0.19148936170212766, 0.30000000000000004], [0.9531066822977726, 0.8888888888888888, 0.1702127659574468, 0.2857142857142857]]","[[0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9472450175849941, 0.5714285714285714, 0.1702127659574468, 0.2622950819672131], [0.9472450175849941, 0.5833333333333334, 0.14893617021276595, 0.23728813559322032], [0.9507620164126612, 0.6923076923076923, 0.19148936170212766, 0.30000000000000004], [0.9531066822977726, 0.8888888888888888, 0.1702127659574468, 0.2857142857142857]]"
Random Forest,Ghana,"[[0.9507874015748031, 0.6129032258064516, 0.59375, 0.6031746031746031], [0.9251968503937008, 0.425, 0.53125, 0.47222222222222215], [0.9389763779527559, 0.5135135135135135, 0.59375, 0.5507246376811593], [0.9251968503937008, 0.4318181818181818, 0.59375, 0.5], [0.9409448818897638, 0.5294117647058824, 0.5625, 0.5454545454545455]]","[[0.9507874015748031, 0.6129032258064516, 0.59375, 0.6031746031746031], [0.9251968503937008, 0.425, 0.53125, 0.47222222222222215], [0.9389763779527559, 0.5135135135135135, 0.59375, 0.5507246376811593], [0.9251968503937008, 0.4318181818181818, 0.59375, 0.5], [0.9409448818897638, 0.5294117647058824, 0.5625, 0.5454545454545455]]","[[0.9507874015748031, 0.6129032258064516, 0.59375, 0.6031746031746031], [0.9251968503937008, 0.425, 0.53125, 0.47222222222222215], [0.9389763779527559, 0.5135135135135135, 0.59375, 0.5507246376811593], [0.9251968503937008, 0.4318181818181818, 0.59375, 0.5], [0.9409448818897638, 0.5294117647058824, 0.5625, 0.5454545454545455]]","[[0.9507874015748031, 0.6129032258064516, 0.59375, 0.6031746031746031], [0.9251968503937008, 0.425, 0.53125, 0.47222222222222215], [0.9389763779527559, 0.5135135135135135, 0.59375, 0.5507246376811593], [0.9251968503937008, 0.4318181818181818, 0.59375, 0.5], [0.9409448818897638, 0.5294117647058824, 0.5625, 0.5454545454545455]]"
Random Forest Untuned,Ghana,"[[0.9468503937007874, 0.7777777777777778, 0.21875, 0.34146341463414637], [0.952755905511811, 0.7857142857142857, 0.34375, 0.4782608695652174], [0.9330708661417323, 0.4, 0.125, 0.19047619047619047], [0.9566929133858267, 0.9166666666666666, 0.34375, 0.5], [0.9429133858267716, 0.6363636363636364, 0.21875, 0.3255813953488372]]","[[0.9468503937007874, 0.7777777777777778, 0.21875, 0.34146341463414637], [0.952755905511811, 0.7857142857142857, 0.34375, 0.4782608695652174], [0.9330708661417323, 0.4, 0.125, 0.19047619047619047], [0.9566929133858267, 0.9166666666666666, 0.34375, 0.5], [0.9429133858267716, 0.6363636363636364, 0.21875, 0.3255813953488372]]","[[0.9468503937007874, 0.7777777777777778, 0.21875, 0.34146341463414637], [0.952755905511811, 0.7857142857142857, 0.34375, 0.4782608695652174], [0.9330708661417323, 0.4, 0.125, 0.19047619047619047], [0.9566929133858267, 0.9166666666666666, 0.34375, 0.5], [0.9429133858267716, 0.6363636363636364, 0.21875, 0.3255813953488372]]","[[0.9468503937007874, 0.7777777777777778, 0.21875, 0.34146341463414637], [0.952755905511811, 0.7857142857142857, 0.34375, 0.4782608695652174], [0.9330708661417323, 0.4, 0.125, 0.19047619047619047], [0.9566929133858267, 0.9166666666666666, 0.34375, 0.5], [0.9429133858267716, 0.6363636363636364, 0.21875, 0.3255813953488372]]"
Random Forest,Philippines,"[[0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9423868312757202, 0.4, 0.43478260869565216, 0.41666666666666663], [0.9403292181069959, 0.3125, 0.21739130434782608, 0.2564102564102564], [0.9465020576131687, 0.44, 0.4782608695652174, 0.4583333333333333], [0.9444444444444444, 0.4, 0.34782608695652173, 0.37209302325581395]]","[[0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9423868312757202, 0.4, 0.43478260869565216, 0.41666666666666663], [0.9403292181069959, 0.3125, 0.21739130434782608, 0.2564102564102564], [0.9465020576131687, 0.44, 0.4782608695652174, 0.4583333333333333], [0.9444444444444444, 0.4, 0.34782608695652173, 0.37209302325581395]]","[[0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9423868312757202, 0.4, 0.43478260869565216, 0.41666666666666663], [0.9403292181069959, 0.3125, 0.21739130434782608, 0.2564102564102564], [0.9465020576131687, 0.44, 0.4782608695652174, 0.4583333333333333], [0.9444444444444444, 0.4, 0.34782608695652173, 0.37209302325581395]]","[[0.9567901234567902, 1.0, 0.08695652173913043, 0.16], [0.9423868312757202, 0.4, 0.43478260869565216, 0.41666666666666663], [0.9403292181069959, 0.3125, 0.21739130434782608, 0.2564102564102564], [0.9465020576131687, 0.44, 0.4782608695652174, 0.4583333333333333], [0.9444444444444444, 0.4, 0.34782608695652173, 0.37209302325581395]]"
Random Forest Untuned,Philippines,"[[0.9629629629629629, 0.8571428571428571, 0.2608695652173913, 0.4], [0.9526748971193416, 0.5, 0.13043478260869565, 0.20689655172413793], [0.948559670781893, 0.375, 0.13043478260869565, 0.19354838709677416], [0.9629629629629629, 0.7777777777777778, 0.30434782608695654, 0.43750000000000006], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065]]","[[0.9629629629629629, 0.8571428571428571, 0.2608695652173913, 0.4], [0.9526748971193416, 0.5, 0.13043478260869565, 0.20689655172413793], [0.948559670781893, 0.375, 0.13043478260869565, 0.19354838709677416], [0.9629629629629629, 0.7777777777777778, 0.30434782608695654, 0.43750000000000006], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065]]","[[0.9629629629629629, 0.8571428571428571, 0.2608695652173913, 0.4], [0.9526748971193416, 0.5, 0.13043478260869565, 0.20689655172413793], [0.948559670781893, 0.375, 0.13043478260869565, 0.19354838709677416], [0.9629629629629629, 0.7777777777777778, 0.30434782608695654, 0.43750000000000006], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065]]","[[0.9629629629629629, 0.8571428571428571, 0.2608695652173913, 0.4], [0.9526748971193416, 0.5, 0.13043478260869565, 0.20689655172413793], [0.948559670781893, 0.375, 0.13043478260869565, 0.19354838709677416], [0.9629629629629629, 0.7777777777777778, 0.30434782608695654, 0.43750000000000006], [0.9650205761316872, 0.875, 0.30434782608695654, 0.4516129032258065]]"
