Baseline,Country,Accuracy,Precision,Recall,F1
Naive Bayes Tuned,Venezuela,0.947,0.556,0.213,0.308
Naive Bayes Default,Venezuela,0.945,0.0,0.0,0.0
Naive Bayes Tuned,Ghana,0.953,0.7,0.438,0.538
Naive Bayes Default,Ghana,0.937,0.0,0.0,0.0
Naive Bayes Tuned,Philippines,0.949,0.444,0.348,0.39
Naive Bayes Default,Philippines,0.953,0.0,0.0,0.0
